--- Demand Distribution ---
Demand    Prob      Cum Prob  Range          
2         0.25      0.25      1-25
3         0.25      0.50      26-50
4         0.25      0.75      51-75
5         0.25      1.00      76-100

--- Lead Time Distribution ---
Lead Time Prob      Cum Prob  Range          
2         0.25      0.25      1-25
3         0.25      0.50      26-50
4         0.25      0.75      51-75
5         0.25      1.00      76-100

--- Simulation Log ---
day          | begin_inv    | rd_demand    | demand       | end_inv      | backorder    | order_qty    | rd_lead      | lead_time    | days_until_arrival
295          | 0            | 19           | 2            | 0            | 609          | 0            | 0            | 0            | 2           
296          | 0            | 48           | 3            | 0            | 612          | 0            | 0            | 0            | 1           
297          | 0            | 75           | 4            | 0            | 606          | 0            | 0            | 0            | 0           
298          | 0            | 15           | 2            | 0            | 608          | 0            | 0            | 0            | 0           
299          | 0            | 13           | 2            | 0            | 610          | 0            | 0            | 0            | 0           
300          | 0            | 88           | 5            | 0            | 615          | 0            | 0            | 0            | 0           
301          | 0            | 19           | 2            | 0            | 617          | 10           | 27           | 3            | 3           
302          | 0            | 47           | 3            | 0            | 620          | 0            | 0            | 0            | 2           
303          | 0            | 5            | 2            | 0            | 622          | 0            | 0            | 0            | 1           
304          | 0            | 9            | 2            | 0            | 614          | 0            | 0            | 0            | 0           
305          | 0            | 42           | 3            | 0            | 617          | 0            | 0            | 0            | 0           
306          | 0            | 43           | 3            | 0            | 620          | 0            | 0            | 0            | 0           
307          | 0            | 63           | 4            | 0            | 624          | 0            | 0            | 0            | 0           
308          | 0            | 54           | 4            | 0            | 628          | 10           | 4            | 2            | 2           
309          | 0            | 37           | 3            | 0            | 631          | 0            | 0            | 0            | 1           
310          | 0            | 71           | 4            | 0            | 625          | 0            | 0            | 0            | 0           
311          | 0            | 77           | 5            | 0            | 630          | 0            | 0            | 0            | 0           
312          | 0            | 58           | 4            | 0            | 634          | 0            | 0            | 0            | 0           
313          | 0            | 27           | 3            | 0            | 637          | 0            | 0            | 0            | 0           
314          | 0            | 59           | 4            | 0            | 641          | 0            | 0            | 0            | 0           
315          | 0            | 53           | 4            | 0            | 645          | 10           | 37           | 3            | 3           
316          | 0            | 46           | 3            | 0            | 648          | 0            | 0            | 0            | 2           
317          | 0            | 25           | 2            | 0            | 650          | 0            | 0            | 0            | 1           
318          | 0            | 64           | 4            | 0            | 644          | 0            | 0            | 0            | 0           
319          | 0            | 68           | 4            | 0            | 648          | 0            | 0            | 0            | 0           
320          | 0            | 32           | 3            | 0            | 651          | 0            | 0            | 0            | 0           
